hidden_layers,activation,optimizer,learning_rate,test_accuracy
"[32, 16]",relu,adam,0.01,0.8032786846160889
"[32, 16]",relu,adam,0.001,0.8524590134620667
"[32, 16]",relu,adam,0.0005,0.868852436542511
"[32, 16]",relu,sgd,0.01,0.8852459192276001
"[32, 16]",relu,sgd,0.001,0.8524590134620667
"[32, 16]",relu,sgd,0.0005,0.5409836173057556
"[32, 16]",relu,rmsprop,0.01,0.7540983557701111
"[32, 16]",relu,rmsprop,0.001,0.8524590134620667
"[32, 16]",relu,rmsprop,0.0005,0.868852436542511
"[32, 16]",tanh,adam,0.01,0.868852436542511
"[32, 16]",tanh,adam,0.001,0.868852436542511
"[32, 16]",tanh,adam,0.0005,0.8852459192276001
"[32, 16]",tanh,sgd,0.01,0.8524590134620667
"[32, 16]",tanh,sgd,0.001,0.9016393423080444
"[32, 16]",tanh,sgd,0.0005,0.6557376980781555
"[32, 16]",tanh,rmsprop,0.01,0.8852459192276001
"[32, 16]",tanh,rmsprop,0.001,0.8524590134620667
"[32, 16]",tanh,rmsprop,0.0005,0.8524590134620667
"[32, 16]",sigmoid,adam,0.01,0.8524590134620667
"[32, 16]",sigmoid,adam,0.001,0.868852436542511
"[32, 16]",sigmoid,adam,0.0005,0.868852436542511
"[32, 16]",sigmoid,sgd,0.01,0.6065573692321777
"[32, 16]",sigmoid,sgd,0.001,0.4754098355770111
"[32, 16]",sigmoid,sgd,0.0005,0.4754098355770111
"[32, 16]",sigmoid,rmsprop,0.01,0.8524590134620667
"[32, 16]",sigmoid,rmsprop,0.001,0.868852436542511
"[32, 16]",sigmoid,rmsprop,0.0005,0.868852436542511
"[64, 32, 16]",relu,adam,0.01,0.8196721076965332
"[64, 32, 16]",relu,adam,0.001,0.8032786846160889
"[64, 32, 16]",relu,adam,0.0005,0.8524590134620667
"[64, 32, 16]",relu,sgd,0.01,0.8196721076965332
"[64, 32, 16]",relu,sgd,0.001,0.7868852615356445
"[64, 32, 16]",relu,sgd,0.0005,0.49180328845977783
"[64, 32, 16]",relu,rmsprop,0.01,0.8032786846160889
"[64, 32, 16]",relu,rmsprop,0.001,0.8032786846160889
"[64, 32, 16]",relu,rmsprop,0.0005,0.8196721076965332
"[64, 32, 16]",tanh,adam,0.01,0.868852436542511
"[64, 32, 16]",tanh,adam,0.001,0.9016393423080444
"[64, 32, 16]",tanh,adam,0.0005,0.868852436542511
"[64, 32, 16]",tanh,sgd,0.01,0.868852436542511
"[64, 32, 16]",tanh,sgd,0.001,0.8360655903816223
"[64, 32, 16]",tanh,sgd,0.0005,0.8360655903816223
"[64, 32, 16]",tanh,rmsprop,0.01,0.8524590134620667
"[64, 32, 16]",tanh,rmsprop,0.001,0.868852436542511
"[64, 32, 16]",tanh,rmsprop,0.0005,0.868852436542511
"[64, 32, 16]",sigmoid,adam,0.01,0.8196721076965332
"[64, 32, 16]",sigmoid,adam,0.001,0.8852459192276001
"[64, 32, 16]",sigmoid,adam,0.0005,0.8852459192276001
"[64, 32, 16]",sigmoid,sgd,0.01,0.4754098355770111
"[64, 32, 16]",sigmoid,sgd,0.001,0.4754098355770111
"[64, 32, 16]",sigmoid,sgd,0.0005,0.4754098355770111
"[64, 32, 16]",sigmoid,rmsprop,0.01,0.7704917788505554
"[64, 32, 16]",sigmoid,rmsprop,0.001,0.868852436542511
"[64, 32, 16]",sigmoid,rmsprop,0.0005,0.8852459192276001
"[128, 64, 32]",relu,adam,0.01,0.8524590134620667
"[128, 64, 32]",relu,adam,0.001,0.8032786846160889
"[128, 64, 32]",relu,adam,0.0005,0.8032786846160889
"[128, 64, 32]",relu,sgd,0.01,0.8852459192276001
"[128, 64, 32]",relu,sgd,0.001,0.7377049326896667
"[128, 64, 32]",relu,sgd,0.0005,0.7213114500045776
"[128, 64, 32]",relu,rmsprop,0.01,0.8032786846160889
"[128, 64, 32]",relu,rmsprop,0.001,0.7704917788505554
"[128, 64, 32]",relu,rmsprop,0.0005,0.8360655903816223
"[128, 64, 32]",tanh,adam,0.01,0.868852436542511
"[128, 64, 32]",tanh,adam,0.001,0.8032786846160889
"[128, 64, 32]",tanh,adam,0.0005,0.868852436542511
"[128, 64, 32]",tanh,sgd,0.01,0.868852436542511
"[128, 64, 32]",tanh,sgd,0.001,0.8524590134620667
"[128, 64, 32]",tanh,sgd,0.0005,0.8524590134620667
"[128, 64, 32]",tanh,rmsprop,0.01,0.9344262480735779
"[128, 64, 32]",tanh,rmsprop,0.001,0.8524590134620667
"[128, 64, 32]",tanh,rmsprop,0.0005,0.9016393423080444
"[128, 64, 32]",sigmoid,adam,0.01,0.8524590134620667
"[128, 64, 32]",sigmoid,adam,0.001,0.868852436542511
"[128, 64, 32]",sigmoid,adam,0.0005,0.868852436542511
"[128, 64, 32]",sigmoid,sgd,0.01,0.4754098355770111
"[128, 64, 32]",sigmoid,sgd,0.001,0.4754098355770111
"[128, 64, 32]",sigmoid,sgd,0.0005,0.4754098355770111
"[128, 64, 32]",sigmoid,rmsprop,0.01,0.8196721076965332
"[128, 64, 32]",sigmoid,rmsprop,0.001,0.868852436542511
"[128, 64, 32]",sigmoid,rmsprop,0.0005,0.8852459192276001
